User,Date,01,02,03,04
1,2024-01-01,39,40,55,67
1,2024-01-02,44,37,57,69
1,2024-01-03,43,49,49,71
1,2024-01-04,46,50,57,68
1,2024-01-05,43,51,53,69
1,2024-01-06,39,44,59,61
1,2024-01-07,33,49,53,69
1,2024-01-08,43,46,51,67
1,2024-01-09,39,46,57,66
1,2024-01-10,37,49,52,69
1,2024-01-11,55,40,57,69
1,2024-01-12,35,49,55,67
1,2024-01-13,45,44,55,69
1,2024-01-14,40,42,61,65
1,2024-01-15,37,35,51,66
1,2024-01-16,44,47,45,69
1,2024-01-17,33,45,55,67
1,2024-01-18,41,41,51,67
1,2024-01-19,35,50,59,69
1,2024-01-20,37,39,57,65
1,2024-01-21,35,45,53,67
1,2024-01-22,34,46,59,69
1,2024-01-23,42,43,53,67
1,2024-01-24,41,42,53,67
1,2024-01-25,39,38,54,65
1,2024-01-26,35,41,59,69
1,2024-01-27,29,48,53,71
1,2024-01-28,45,43,61,71
1,2024-01-29,36,47,59,69
1,2024-01-30,39,41,57,63
2,2024-01-01,35,47,59,69
2,2024-01-02,31,52,53,69
2,2024-01-03,44,44,59,71
2,2024-01-04,46,51,59,69
2,2024-01-05,40,47,53,65
2,2024-01-06,42,49,59,69
2,2024-01-07,40,44,57,65
2,2024-01-08,47,47,57,69
2,2024-01-09,40,49,61,70
2,2024-01-10,42,47,57,71
2,2024-01-11,41,43,55,65
2,2024-01-12,41,47,59,71
2,2024-01-13,42,41,55,69
2,2024-01-14,34,48,57,65
2,2024-01-15,39,37,53,69
2,2024-01-16,41,50,50,67
2,2024-01-17,33,48,56,65
2,2024-01-18,38,54,53,65
2,2024-01-19,32,49,59,67
2,2024-01-20,39,47,55,71
2,2024-01-21,35,44,61,65
2,2024-01-22,40,44,55,65
2,2024-01-23,40,42,53,71
2,2024-01-24,38,46,51,69
2,2024-01-25,34,50,61,67
2,2024-01-26,42,41,49,69
2,2024-01-27,42,41,53,65
2,2024-01-28,48,41,57,65
2,2024-01-29,34,40,55,69
2,2024-01-30,39,43,57,69
3,2024-01-01,46,45,53,71
3,2024-01-02,45,51,49,69
3,2024-01-03,46,51,61,67
3,2024-01-04,42,53,55,65
3,2024-01-05,31,42,52,69
3,2024-01-06,48,42,51,71
3,2024-01-07,39,44,55,69
3,2024-01-08,35,44,51,65
3,2024-01-09,52,38,51,67
3,2024-01-10,42,47,59,71
3,2024-01-11,41,44,55,65
3,2024-01-12,43,49,60,69
3,2024-01-13,42,50,55,67
3,2024-01-14,47,41,54,69
3,2024-01-15,38,51,59,67
3,2024-01-16,42,50,53,69
3,2024-01-17,46,41,57,71
3,2024-01-18,42,48,57,69
3,2024-01-19,38,46,59,67
3,2024-01-20,49,47,51,71
3,2024-01-21,43,47,59,67
3,2024-01-22,35,46,59,67
3,2024-01-23,33,47,51,61
3,2024-01-24,46,41,57,71
3,2024-01-25,38,42,57,69
3,2024-01-26,46,40,63,69
3,2024-01-27,36,41,55,67
3,2024-01-28,37,40,53,69
3,2024-01-29,40,41,55,64
3,2024-01-30,34,35,52,71
4,2024-01-01,34,42,53,69
4,2024-01-02,42,33,57,69
4,2024-01-03,37,45,49,67
4,2024-01-04,42,42,59,71
4,2024-01-05,42,46,52,69
4,2024-01-06,35,43,57,63
4,2024-01-07,39,43,53,71
4,2024-01-08,34,46,55,69
4,2024-01-09,38,40,59,65
4,2024-01-10,44,42,53,69
4,2024-01-11,41,46,51,67
4,2024-01-12,41,46,55,67
4,2024-01-13,34,47,57,71
4,2024-01-14,47,46,59,71
4,2024-01-15,35,47,55,67
4,2024-01-16,46,41,51,69
4,2024-01-17,34,51,59,65
4,2024-01-18,37,42,61,67
4,2024-01-19,42,41,53,67
4,2024-01-20,42,48,51,65
4,2024-01-21,39,49,59,69
4,2024-01-22,38,40,57,67
4,2024-01-23,41,49,57,66
