User,Date,01,02,03,04
1,2024-01-01,32,31,16,4
1,2024-01-02,27,34,14,2
1,2024-01-03,28,22,22,0
1,2024-01-04,25,21,14,3
1,2024-01-05,28,20,18,2
1,2024-01-06,32,27,12,10
1,2024-01-07,38,22,18,2
1,2024-01-08,28,25,20,4
1,2024-01-09,32,25,14,5
1,2024-01-10,34,22,19,2
1,2024-01-11,16,31,14,2
1,2024-01-12,36,22,16,4
1,2024-01-13,26,27,16,2
1,2024-01-14,31,29,10,6
1,2024-01-15,34,36,20,5
1,2024-01-16,27,24,26,2
1,2024-01-17,38,26,16,4
1,2024-01-18,30,30,20,4
1,2024-01-19,36,21,12,2
1,2024-01-20,34,32,14,6
1,2024-01-21,36,26,18,4
1,2024-01-22,37,25,12,2
1,2024-01-23,29,28,18,4
1,2024-01-24,30,29,18,4
1,2024-01-25,32,33,17,6
1,2024-01-26,36,30,12,2
1,2024-01-27,42,23,18,0
1,2024-01-28,26,28,10,0
1,2024-01-29,35,24,12,2
1,2024-01-30,32,30,14,8
2,2024-01-01,36,24,12,2
2,2024-01-02,40,19,18,2
2,2024-01-03,27,27,12,0
2,2024-01-04,25,20,12,2
2,2024-01-05,31,24,18,6
2,2024-01-06,29,22,12,2
2,2024-01-07,31,27,14,6
2,2024-01-08,24,24,14,2
2,2024-01-09,31,22,10,1
2,2024-01-10,29,24,14,0
2,2024-01-11,30,28,16,6
2,2024-01-12,30,24,12,0
2,2024-01-13,29,30,16,2
2,2024-01-14,37,23,14,6
2,2024-01-15,32,34,18,2
2,2024-01-16,30,21,21,4
2,2024-01-17,38,23,15,6
2,2024-01-18,33,17,18,6
2,2024-01-19,39,22,12,4
2,2024-01-20,32,24,16,0
2,2024-01-21,36,27,10,6
2,2024-01-22,31,27,16,6
2,2024-01-23,31,29,18,0
2,2024-01-24,33,25,20,2
2,2024-01-25,37,21,10,4
2,2024-01-26,29,30,22,2
2,2024-01-27,29,30,18,6
2,2024-01-28,23,30,14,6
2,2024-01-29,37,31,16,2
2,2024-01-30,32,28,14,2
3,2024-01-01,25,26,18,0
3,2024-01-02,26,20,22,2
3,2024-01-03,25,20,10,4
3,2024-01-04,29,18,16,6
3,2024-01-05,40,29,19,2
3,2024-01-06,23,29,20,0
3,2024-01-07,32,27,16,2
3,2024-01-08,36,27,20,6
3,2024-01-09,19,33,20,4
3,2024-01-10,29,24,12,0
3,2024-01-11,30,27,16,6
3,2024-01-12,28,22,11,2
3,2024-01-13,29,21,16,4
3,2024-01-14,24,30,17,2
3,2024-01-15,33,20,12,4
3,2024-01-16,29,21,18,2
3,2024-01-17,25,30,14,0
3,2024-01-18,29,23,14,2
3,2024-01-19,33,25,12,4
3,2024-01-20,22,24,20,0
3,2024-01-21,28,24,12,4
3,2024-01-22,36,25,12,4
3,2024-01-23,38,24,20,10
3,2024-01-24,25,30,14,0
3,2024-01-25,33,29,14,2
3,2024-01-26,25,31,8,2
3,2024-01-27,35,30,16,4
3,2024-01-28,34,31,18,2
3,2024-01-29,31,30,16,7
3,2024-01-30,37,36,19,0
4,2024-01-01,37,29,18,2
4,2024-01-02,29,38,14,2
4,2024-01-03,34,26,22,4
4,2024-01-04,29,29,12,0
4,2024-01-05,29,25,19,2
4,2024-01-06,36,28,14,8
4,2024-01-07,32,28,18,0
4,2024-01-08,37,25,16,2
4,2024-01-09,33,31,12,6
4,2024-01-10,27,29,18,2
4,2024-01-11,30,25,20,4
4,2024-01-12,30,25,16,4
4,2024-01-13,37,24,14,0
4,2024-01-14,24,25,12,0
4,2024-01-15,36,24,16,4
4,2024-01-16,25,30,20,2
4,2024-01-17,37,20,12,6
4,2024-01-18,34,29,10,4
4,2024-01-19,29,30,18,4
4,2024-01-20,29,23,20,6
4,2024-01-21,32,22,12,2
4,2024-01-22,33,31,14,4
4,2024-01-23,30,22,14,5
4,2024-01-24,22,24,12,6
4,2024-01-25,32,28,14,4
4,2024-01-26,31,24,14,4
4,2024-01-27,32,22,16,2
4,2024-01-28,34,26,16,6
4,2024-01-29,34,27,12,4
4,2024-01-30,25,29,20,4
5,2024-01-01,33,30,18,6
5,2024-01-02,38,26,10,4
5,2024-01-03,21,27,22,6
5,2024-01-04,35,27,16,8
5,2024-01-05,18,22,18,4
5,2024-01-06,36,25,22,4
5,2024-01-07,25,31,14,6
5,2024-01-08,34,25,20,2
5,2024-01-09,30,27,14,2
5,2024-01-10,34,31,14,0
5,2024-01-11,39,20,21,0
5,2024-01-12,37,25,10,2
5,2024-01-13,25,25,14,2
5,2024-01-14,33,29,15,6
5,2024-01-15,26,22,20,8
5,2024-01-16,46,26,16,4
5,2024-01-17,21,31,16,4
5,2024-01-18,31,23,16,2
5,2024-01-19,27,25,12,4
5,2024-01-20,27,25,14,4
5,2024-01-21,29,22,19,0
5,2024-01-22,23,26,12,2
5,2024-01-23,32,19,16,4
5,2024-01-24,22,23,10,2
5,2024-01-25,27,22,12,6
5,2024-01-26,31,30,16,2
5,2024-01-27,27,26,18,6
5,2024-01-28,28,23,10,0
5,2024-01-29,24,18,14,2
5,2024-01-30,24,28,14,0
6,2024-01-01,24,23,12,2
6,2024-01-02,24,31,18,4
6,2024-01-03,38,32,14,4
6,2024-01-04,33,29,20,2
6,2024-01-05,29,27,17,2
6,2024-01-06,31,21,24,10
6,2024-01-07,30,36,16,4
6,2024-01-08,35,27,16,2
6,2024-01-09,31,30,14,0
6,2024-01-10,31,31,14,0
