User,Date,01,02,03,04
1,2024-01-01,34,5,8,6
1,2024-01-02,34,8,4,1
1,2024-01-03,36,7,2,2
1,2024-01-04,38,9,4,6
1,2024-01-05,39,9,0,5
1,2024-01-06,38,9,6,12
1,2024-01-07,36,8,6,2
1,2024-01-08,42,6,4,0
1,2024-01-09,38,10,2,2
1,2024-01-10,29,15,2,4
1,2024-01-11,30,9,1,6
1,2024-01-12,27,3,9,2
1,2024-01-13,34,7,4,6
1,2024-01-14,34,11,3,2
1,2024-01-15,31,6,7,2
1,2024-01-16,21,4,4,6
1,2024-01-17,37,0,4,2
1,2024-01-18,29,2,3,4
1,2024-01-19,41,5,6,2
1,2024-01-20,33,12,7,0
1,2024-01-21,26,11,4,6
1,2024-01-22,36,12,4,4
1,2024-01-23,24,11,6,0
1,2024-01-24,31,11,2,2
1,2024-01-25,29,9,5,6
1,2024-01-26,34,11,6,8
1,2024-01-27,35,7,3,2
1,2024-01-28,37,10,8,0
1,2024-01-29,35,5,3,6
1,2024-01-30,13,14,8,4
2,2024-01-01,39,14,5,2
2,2024-01-02,32,6,4,0
2,2024-01-03,31,8,4,2
2,2024-01-04,33,10,4,2
2,2024-01-05,38,8,6,4
2,2024-01-06,29,7,6,4
2,2024-01-07,33,10,4,0
2,2024-01-08,33,10,2,2
2,2024-01-09,40,4,5,2
2,2024-01-10,37,9,1,1
2,2024-01-11,26,8,6,0
2,2024-01-12,32,4,4,10
2,2024-01-13,31,12,4,4
2,2024-01-14,30,4,4,4
2,2024-01-15,25,6,2,4
2,2024-01-16,34,9,4,6
2,2024-01-17,31,9,2,4
2,2024-01-18,36,9,3,4
2,2024-01-19,35,4,2,6
2,2024-01-20,34,2,1,4
2,2024-01-21,25,3,4,3
2,2024-01-22,35,13,4,2
2,2024-01-23,32,8,0,8
2,2024-01-24,31,6,4,6
2,2024-01-25,38,6,6,0
2,2024-01-26,29,8,4,6
2,2024-01-27,25,9,5,6
2,2024-01-28,38,6,2,4
2,2024-01-29,35,4,4,2
2,2024-01-30,19,9,6,2
3,2024-01-01,35,7,2,0
3,2024-01-02,37,9,3,4
3,2024-01-03,27,12,6,0
3,2024-01-04,30,4,4,2
3,2024-01-05,32,8,3,2
3,2024-01-06,27,14,6,0
3,2024-01-07,25,7,1,0
3,2024-01-08,31,3,2,6
3,2024-01-09,27,13,8,6
3,2024-01-10,29,12,8,2
3,2024-01-11,29,15,3,4
3,2024-01-12,35,10,2,2
3,2024-01-13,37,10,6,2
3,2024-01-14,31,12,2,4
3,2024-01-15,35,7,8,0
3,2024-01-16,38,5,5,4
3,2024-01-17,35,4,4,4
3,2024-01-18,25,8,2,6
3,2024-01-19,37,8,2,0
3,2024-01-20,37,8,0,2
3,2024-01-21,34,7,4,4
3,2024-01-22,37,8,6,4
3,2024-01-23,32,6,5,2
3,2024-01-24,33,10,0,4
3,2024-01-25,32,7,9,2
3,2024-01-26,31,11,3,4
3,2024-01-27,38,7,2,8
3,2024-01-28,38,13,7,5
3,2024-01-29,28,7,2,8
3,2024-01-30,13,8,3,2
4,2024-01-01,28,14,6,0
4,2024-01-02,37,13,4,0
4,2024-01-03,28,8,2,5
4,2024-01-04,31,4,6,4
4,2024-01-05,28,8,4,0
4,2024-01-06,28,7,2,2
4,2024-01-07,20,11,4,0
4,2024-01-08,35,10,4,4
4,2024-01-09,32,9,4,2
4,2024-01-10,26,13,2,2
4,2024-01-11,38,9,2,2
4,2024-01-12,33,4,6,2
4,2024-01-13,30,8,4,8
4,2024-01-14,41,10,4,2
4,2024-01-15,35,5,6,4
4,2024-01-16,33,4,2,2
4,2024-01-17,35,15,2,6
4,2024-01-18,31,8,2,0
4,2024-01-19,37,12,5,2
4,2024-01-20,39,11,7,5
4,2024-01-21,29,8,4,8
4,2024-01-22,42,8,4,0
4,2024-01-23,36,10,4,8
4,2024-01-24,35,11,2,2
4,2024-01-25,25,13,2,2
4,2024-01-26,34,8,2,2
