User,Date,timeslot_count
1,2024-01-01,16
1,2024-01-02,20
1,2024-01-03,22
1,2024-01-04,23
1,2024-01-05,24
1,2024-01-06,21
1,2024-01-07,16
1,2024-01-08,20
1,2024-01-09,18
1,2024-01-10,20
1,2024-01-11,29
1,2024-01-12,20
1,2024-01-13,18
1,2024-01-14,16
1,2024-01-15,10
1,2024-01-16,15
1,2024-01-17,16
1,2024-01-18,18
1,2024-01-19,17
1,2024-01-20,13
1,2024-01-21,16
1,2024-01-22,17
1,2024-01-23,18
1,2024-01-24,21
1,2024-01-25,11
1,2024-01-26,16
1,2024-01-27,15
1,2024-01-28,24
1,2024-01-29,22
1,2024-01-30,19
2,2024-01-01,20
2,2024-01-02,16
2,2024-01-03,23
2,2024-01-04,26
2,2024-01-05,21
2,2024-01-06,26
2,2024-01-07,22
2,2024-01-08,23
2,2024-01-09,23
2,2024-01-10,23
2,2024-01-11,16
2,2024-01-12,26
2,2024-01-13,20
2,2024-01-14,17
2,2024-01-15,19
2,2024-01-16,16
2,2024-01-17,15
2,2024-01-18,17
2,2024-01-19,20
2,2024-01-20,18
2,2024-01-21,14
2,2024-01-22,19
2,2024-01-23,22
2,2024-01-24,15
2,2024-01-25,20
2,2024-01-26,14
2,2024-01-27,18
2,2024-01-28,18
2,2024-01-29,12
2,2024-01-30,19
3,2024-01-01,20
3,2024-01-02,16
3,2024-01-03,33
3,2024-01-04,21
3,2024-01-05,12
3,2024-01-06,22
3,2024-01-07,18
3,2024-01-08,11
3,2024-01-09,18
3,2024-01-10,21
3,2024-01-11,21
3,2024-01-12,28
3,2024-01-13,21
3,2024-01-14,17
3,2024-01-15,20
3,2024-01-16,21
3,2024-01-17,18
3,2024-01-18,25
3,2024-01-19,20
3,2024-01-20,23
3,2024-01-21,26
3,2024-01-22,20
3,2024-01-23,18
3,2024-01-24,19
3,2024-01-25,17
3,2024-01-26,25
3,2024-01-27,16
3,2024-01-28,19
3,2024-01-29,13
3,2024-01-30,14
4,2024-01-01,13
4,2024-01-02,13
4,2024-01-03,17
4,2024-01-04,19
4,2024-01-05,15
4,2024-01-06,18
4,2024-01-07,14
4,2024-01-08,19
4,2024-01-09,13
4,2024-01-10,21
4,2024-01-11,15
4,2024-01-12,17
4,2024-01-13,18
4,2024-01-14,25
4,2024-01-15,17
4,2024-01-16,16
