User,Date,toggle_count
1,2024-01-01,83
1,2024-01-02,77
1,2024-01-03,72
1,2024-01-04,63
1,2024-01-05,68
1,2024-01-06,81
1,2024-01-07,80
1,2024-01-08,77
1,2024-01-09,76
1,2024-01-10,77
1,2024-01-11,63
1,2024-01-12,78
1,2024-01-13,71
1,2024-01-14,76
1,2024-01-15,95
1,2024-01-16,79
1,2024-01-17,84
1,2024-01-18,84
1,2024-01-19,71
1,2024-01-20,86
1,2024-01-21,84
1,2024-01-22,76
1,2024-01-23,79
1,2024-01-24,81
1,2024-01-25,88
1,2024-01-26,80
1,2024-01-27,83
1,2024-01-28,64
1,2024-01-29,73
1,2024-01-30,84
2,2024-01-01,74
2,2024-01-02,79
2,2024-01-03,66
2,2024-01-04,59
2,2024-01-05,79
2,2024-01-06,65
2,2024-01-07,78
2,2024-01-08,64
2,2024-01-09,64
2,2024-01-10,67
2,2024-01-11,80
2,2024-01-12,66
2,2024-01-13,77
2,2024-01-14,80
2,2024-01-15,86
2,2024-01-16,76
2,2024-01-17,82
2,2024-01-18,74
2,2024-01-19,77
2,2024-01-20,72
2,2024-01-21,79
2,2024-01-22,80
2,2024-01-23,78
2,2024-01-24,80
2,2024-01-25,72
2,2024-01-26,83
2,2024-01-27,83
2,2024-01-28,73
2,2024-01-29,86
2,2024-01-30,76
3,2024-01-01,69
3,2024-01-02,70
3,2024-01-03,59
3,2024-01-04,69
3,2024-01-05,90
3,2024-01-06,72
3,2024-01-07,77
3,2024-01-08,89
3,2024-01-09,76
3,2024-01-10,65
3,2024-01-11,79
3,2024-01-12,63
3,2024-01-13,70
3,2024-01-14,73
3,2024-01-15,69
3,2024-01-16,70
3,2024-01-17,69
3,2024-01-18,68
3,2024-01-19,74
3,2024-01-20,66
3,2024-01-21,68
3,2024-01-22,77
3,2024-01-23,92
3,2024-01-24,69
3,2024-01-25,78
3,2024-01-26,66
3,2024-01-27,85
3,2024-01-28,85
3,2024-01-29,84
3,2024-01-30,92
4,2024-01-01,86
4,2024-01-02,83
4,2024-01-03,86
4,2024-01-04,70
4,2024-01-05,75
4,2024-01-06,86
4,2024-01-07,78
4,2024-01-08,80
4,2024-01-09,82
4,2024-01-10,76
4,2024-01-11,79
4,2024-01-12,75
4,2024-01-13,75
4,2024-01-14,61
4,2024-01-15,80
4,2024-01-16,77
4,2024-01-17,75
4,2024-01-18,77
4,2024-01-19,81
4,2024-01-20,78
4,2024-01-21,68
4,2024-01-22,82
4,2024-01-23,71
4,2024-01-24,64
4,2024-01-25,78
4,2024-01-26,73
4,2024-01-27,72
4,2024-01-28,82
4,2024-01-29,77
4,2024-01-30,78
5,2024-01-01,87
5,2024-01-02,78
5,2024-01-03,76
5,2024-01-04,86
5,2024-01-05,62
5,2024-01-06,87
5,2024-01-07,76
5,2024-01-08,81
5,2024-01-09,73
5,2024-01-10,79
5,2024-01-11,80
5,2024-01-12,74
5,2024-01-13,66
5,2024-01-14,83
5,2024-01-15,76
5,2024-01-16,92
5,2024-01-17,72
5,2024-01-18,72
5,2024-01-19,68
5,2024-01-20,70
5,2024-01-21,70
5,2024-01-22,63
5,2024-01-23,71
5,2024-01-24,57
5,2024-01-25,67
5,2024-01-26,79
5,2024-01-27,77
5,2024-01-28,61
5,2024-01-29,58
5,2024-01-30,66
6,2024-01-01,61
6,2024-01-02,77
6,2024-01-03,88
6,2024-01-04,84
6,2024-01-05,75
6,2024-01-06,86
6,2024-01-07,86
6,2024-01-08,80
6,2024-01-09,75
6,2024-01-10,76
6,2024-01-11,83
6,2024-01-12,70
6,2024-01-13,77
6,2024-01-14,74
6,2024-01-15,75
6,2024-01-16,65
6,2024-01-17,75
6,2024-01-18,67
6,2024-01-19,71
6,2024-01-20,80
6,2024-01-21,82
6,2024-01-22,73
6,2024-01-23,76
6,2024-01-24,87
6,2024-01-25,63
6,2024-01-26,84
6,2024-01-27,82
6,2024-01-28,76
6,2024-01-29,87
6,2024-01-30,72
7,2024-01-01,78
7,2024-01-02,65
7,2024-01-03,77
7,2024-01-04,81
7,2024-01-05,78
7,2024-01-06,61
7,2024-01-07,70
7,2024-01-08,94
7,2024-01-09,70
7,2024-01-10,83
7,2024-01-11,63
7,2024-01-12,79
7,2024-01-13,71
7,2024-01-14,76
7,2024-01-15,76
7,2024-01-16,77
7,2024-01-17,68
7,2024-01-18,64
7,2024-01-19,82
7,2024-01-20,73
7,2024-01-21,81
7,2024-01-22,84
7,2024-01-23,64
7,2024-01-24,82
7,2024-01-25,70
7,2024-01-26,80
7,2024-01-27,83
7,2024-01-28,73
7,2024-01-29,72
7,2024-01-30,84
8,2024-01-01,70
8,2024-01-02,75
8,2024-01-03,70
8,2024-01-04,82
8,2024-01-05,76
8,2024-01-06,75
8,2024-01-07,83
8,2024-01-08,77
8,2024-01-09,82
8,2024-01-10,73
8,2024-01-11,66
8,2024-01-12,86
8,2024-01-13,79
8,2024-01-14,75
8,2024-01-15,83
8,2024-01-16,60
8,2024-01-17,71
8,2024-01-18,69
8,2024-01-19,73
8,2024-01-20,81
8,2024-01-21,84
8,2024-01-22,80
8,2024-01-23,65
8,2024-01-24,73
8,2024-01-25,61
8,2024-01-26,70
8,2024-01-27,84
8,2024-01-28,83
8,2024-01-29,83
8,2024-01-30,88
9,2024-01-01,92
9,2024-01-02,80
9,2024-01-03,73
9,2024-01-04,78
9,2024-01-05,78
9,2024-01-06,79
9,2024-01-07,74
9,2024-01-08,68
9,2024-01-09,78
9,2024-01-10,75
9,2024-01-11,68
9,2024-01-12,73
9,2024-01-13,82
9,2024-01-14,73
9,2024-01-15,75
9,2024-01-16,84
9,2024-01-17,92
9,2024-01-18,76
9,2024-01-19,76
9,2024-01-20,79
9,2024-01-21,74
9,2024-01-22,90
9,2024-01-23,88
9,2024-01-24,82
9,2024-01-25,74
9,2024-01-26,76
9,2024-01-27,74
9,2024-01-28,89
9,2024-01-29,74
9,2024-01-30,79
10,2024-01-01,78
10,2024-01-02,83
10,2024-01-03,77
10,2024-01-04,86
10,2024-01-05,77
10,2024-01-06,93
10,2024-01-07,63
10,2024-01-08,73
10,2024-01-09,83
10,2024-01-10,79
10,2024-01-11,71
10,2024-01-12,65
10,2024-01-13,82
10,2024-01-14,86
10,2024-01-15,72
10,2024-01-16,72
10,2024-01-17,77
10,2024-01-18,80
10,2024-01-19,75
10,2024-01-20,73
10,2024-01-21,88
10,2024-01-22,78
10,2024-01-23,92
10,2024-01-24,93
10,2024-01-25,83
10,2024-01-26,73
10,2024-01-27,69
10,2024-01-28,77
10,2024-01-29,77
10,2024-01-30,80
11,2024-01-01,83
11,2024-01-02,89
11,2024-01-03,73
11,2024-01-04,83
11,2024-01-05,58
11,2024-01-06,66
11,2024-01-07,87
11,2024-01-08,72
11,2024-01-09,78
11,2024-01-10,82
11,2024-01-11,84
11,2024-01-12,69
11,2024-01-13,66
11,2024-01-14,81
11,2024-01-15,75
11,2024-01-16,74
11,2024-01-17,93
11,2024-01-18,84
11,2024-01-19,76
11,2024-01-20,64
11,2024-01-21,76
11,2024-01-22,86
11,2024-01-23,90
11,2024-01-24,82
11,2024-01-25,69
11,2024-01-26,73
11,2024-01-27,71
11,2024-01-28,65
11,2024-01-29,84
11,2024-01-30,92
12,2024-01-01,79
12,2024-01-02,74
12,2024-01-03,83
12,2024-01-04,85
12,2024-01-05,69
12,2024-01-06,72
12,2024-01-07,91
12,2024-01-08,74
12,2024-01-09,83
12,2024-01-10,61
12,2024-01-11,73
12,2024-01-12,78
12,2024-01-13,81
12,2024-01-14,76
12,2024-01-15,75
12,2024-01-16,66
12,2024-01-17,76
12,2024-01-18,95
12,2024-01-19,73
12,2024-01-20,83
12,2024-01-21,66
12,2024-01-22,92
12,2024-01-23,79
12,2024-01-24,87
12,2024-01-25,91
12,2024-01-26,71
12,2024-01-27,63
12,2024-01-28,74
12,2024-01-29,89
12,2024-01-30,87
13,2024-01-01,74
13,2024-01-02,77
13,2024-01-03,64
13,2024-01-04,69
13,2024-01-05,70
13,2024-01-06,71
13,2024-01-07,94
13,2024-01-08,71
13,2024-01-09,82
13,2024-01-10,81
13,2024-01-11,86
13,2024-01-12,85
13,2024-01-13,62
13,2024-01-14,73
13,2024-01-15,64
13,2024-01-16,80
13,2024-01-17,72
13,2024-01-18,69
13,2024-01-19,54
13,2024-01-20,65
13,2024-01-21,76
13,2024-01-22,80
13,2024-01-23,80
13,2024-01-24,85
13,2024-01-25,75
13,2024-01-26,63
13,2024-01-27,82
13,2024-01-28,91
13,2024-01-29,65
13,2024-01-30,81
14,2024-01-01,73
14,2024-01-02,80
14,2024-01-03,68
14,2024-01-04,85
14,2024-01-05,82
14,2024-01-06,80
14,2024-01-07,87
14,2024-01-08,75
14,2024-01-09,89
14,2024-01-10,67
14,2024-01-11,79
14,2024-01-12,81
14,2024-01-13,84
14,2024-01-14,74
14,2024-01-15,78
14,2024-01-16,77
14,2024-01-17,68
14,2024-01-18,68
14,2024-01-19,71
14,2024-01-20,77
14,2024-01-21,84
14,2024-01-22,71
14,2024-01-23,75
14,2024-01-24,74
14,2024-01-25,73
14,2024-01-26,77
14,2024-01-27,88
14,2024-01-28,70
14,2024-01-29,76
14,2024-01-30,73
15,2024-01-01,79
15,2024-01-02,68
15,2024-01-03,84
15,2024-01-04,80
15,2024-01-05,83
15,2024-01-06,78
15,2024-01-07,89
15,2024-01-08,78
15,2024-01-09,73
15,2024-01-10,86
15,2024-01-11,87
15,2024-01-12,59
15,2024-01-13,83
15,2024-01-14,87
15,2024-01-15,91
15,2024-01-16,66
15,2024-01-17,78
15,2024-01-18,72
15,2024-01-19,73
15,2024-01-20,78
15,2024-01-21,71
15,2024-01-22,73
15,2024-01-23,75
15,2024-01-24,92
15,2024-01-25,69
15,2024-01-26,75
15,2024-01-27,81
15,2024-01-28,77
15,2024-01-29,93
15,2024-01-30,75
16,2024-01-01,84
16,2024-01-02,77
16,2024-01-03,101
16,2024-01-04,69
16,2024-01-05,85
16,2024-01-06,78
16,2024-01-07,73
16,2024-01-08,76
16,2024-01-09,90
16,2024-01-10,74
16,2024-01-11,92
16,2024-01-12,71
16,2024-01-13,84
16,2024-01-14,87
16,2024-01-15,69
16,2024-01-16,82
16,2024-01-17,68
16,2024-01-18,82
16,2024-01-19,73
16,2024-01-20,66
16,2024-01-21,67
16,2024-01-22,71
16,2024-01-23,65
16,2024-01-24,75
16,2024-01-25,79
16,2024-01-26,77
16,2024-01-27,61
16,2024-01-28,57
16,2024-01-29,64
16,2024-01-30,75
17,2024-01-01,80
17,2024-01-02,76
17,2024-01-03,70
17,2024-01-04,67
17,2024-01-05,71
17,2024-01-06,70
17,2024-01-07,86
17,2024-01-08,71
17,2024-01-09,65
17,2024-01-10,87
17,2024-01-11,73
17,2024-01-12,75
17,2024-01-13,69
17,2024-01-14,76
17,2024-01-15,73
17,2024-01-16,74
17,2024-01-17,65
17,2024-01-18,75
17,2024-01-19,64
17,2024-01-20,87
17,2024-01-21,85
17,2024-01-22,79
17,2024-01-23,58
17,2024-01-24,88
17,2024-01-25,62
17,2024-01-26,85
17,2024-01-27,81
17,2024-01-28,76
17,2024-01-29,76
17,2024-01-30,83
18,2024-01-01,76
18,2024-01-02,84
18,2024-01-03,78
18,2024-01-04,80
18,2024-01-05,81
18,2024-01-06,72
18,2024-01-07,74
18,2024-01-08,66
18,2024-01-09,64
18,2024-01-10,79
18,2024-01-11,75
18,2024-01-12,75
18,2024-01-13,95
18,2024-01-14,83
18,2024-01-15,71
18,2024-01-16,79
18,2024-01-17,80
18,2024-01-18,74
18,2024-01-19,65
18,2024-01-20,73
18,2024-01-21,83
18,2024-01-22,80
18,2024-01-23,80
18,2024-01-24,68
18,2024-01-25,85
18,2024-01-26,84
18,2024-01-27,71
18,2024-01-28,72
18,2024-01-29,79
18,2024-01-30,77
19,2024-01-01,68
19,2024-01-02,80
19,2024-01-03,63
19,2024-01-04,63
19,2024-01-05,80
19,2024-01-06,69
19,2024-01-07,77
19,2024-01-08,91
19,2024-01-09,90
19,2024-01-10,66
19,2024-01-11,81
19,2024-01-12,83
19,2024-01-13,67
19,2024-01-14,78
19,2024-01-15,95
19,2024-01-16,70
19,2024-01-17,78
19,2024-01-18,78
19,2024-01-19,69
19,2024-01-20,81
19,2024-01-21,80
19,2024-01-22,75
19,2024-01-23,70
19,2024-01-24,67
19,2024-01-25,75
19,2024-01-26,75
19,2024-01-27,85
19,2024-01-28,85
19,2024-01-29,79
19,2024-01-30,65
20,2024-01-01,70
20,2024-01-02,80
20,2024-01-03,79
20,2024-01-04,70
20,2024-01-05,71
20,2024-01-06,91
20,2024-01-07,59
20,2024-01-08,83
20,2024-01-09,70
20,2024-01-10,76
20,2024-01-11,74
20,2024-01-12,78
