User,Date,bathroom_count
1,2024-01-01,2
1,2024-01-02,0
1,2024-01-03,0
1,2024-01-04,4
1,2024-01-05,4
1,2024-01-06,4
1,2024-01-07,2
1,2024-01-08,0
1,2024-01-09,2
1,2024-01-10,0
1,2024-01-11,4
1,2024-01-12,0
1,2024-01-13,2
1,2024-01-14,0
1,2024-01-15,0
1,2024-01-16,0
1,2024-01-17,2
1,2024-01-18,2
1,2024-01-19,0
1,2024-01-20,0
1,2024-01-21,2
1,2024-01-22,3
1,2024-01-23,0
1,2024-01-24,0
1,2024-01-25,6
1,2024-01-26,8
1,2024-01-27,0
1,2024-01-28,0
1,2024-01-29,4
1,2024-01-30,4
2,2024-01-01,0
2,2024-01-02,0
2,2024-01-03,2
2,2024-01-04,0
2,2024-01-05,0
2,2024-01-06,1
2,2024-01-07,0
2,2024-01-08,0
2,2024-01-09,2
2,2024-01-10,0
2,2024-01-11,0
2,2024-01-12,4
2,2024-01-13,0
2,2024-01-14,2
2,2024-01-15,4
2,2024-01-16,4
2,2024-01-17,0
2,2024-01-18,4
2,2024-01-19,2
2,2024-01-20,1
2,2024-01-21,0
2,2024-01-22,0
2,2024-01-23,4
2,2024-01-24,1
2,2024-01-25,0
2,2024-01-26,0
2,2024-01-27,2
2,2024-01-28,2
2,2024-01-29,2
2,2024-01-30,0
3,2024-01-01,0
3,2024-01-02,2
3,2024-01-03,0
3,2024-01-04,2
3,2024-01-05,0
3,2024-01-06,0
3,2024-01-07,0
3,2024-01-08,4
3,2024-01-09,2
3,2024-01-10,0
3,2024-01-11,2
3,2024-01-12,0
3,2024-01-13,2
3,2024-01-14,2
3,2024-01-15,0
3,2024-01-16,2
3,2024-01-17,0
3,2024-01-18,4
3,2024-01-19,0
3,2024-01-20,2
3,2024-01-21,2
3,2024-01-22,1
3,2024-01-23,0
3,2024-01-24,0
3,2024-01-25,2
3,2024-01-26,2
3,2024-01-27,2
3,2024-01-28,2
3,2024-01-29,4
3,2024-01-30,2
4,2024-01-01,0
4,2024-01-02,0
4,2024-01-03,4
4,2024-01-04,4
4,2024-01-05,0
4,2024-01-06,2
4,2024-01-07,0
4,2024-01-08,2
4,2024-01-09,0
4,2024-01-10,0
4,2024-01-11,1
4,2024-01-12,2
4,2024-01-13,4
4,2024-01-14,2
4,2024-01-15,0
4,2024-01-16,0
4,2024-01-17,4
4,2024-01-18,0
4,2024-01-19,2
4,2024-01-20,2
4,2024-01-21,4
4,2024-01-22,0
4,2024-01-23,2
4,2024-01-24,2
4,2024-01-25,0
4,2024-01-26,2
4,2024-01-27,0
4,2024-01-28,4
4,2024-01-29,2
4,2024-01-30,0
5,2024-01-01,0
5,2024-01-02,0
5,2024-01-03,3
5,2024-01-04,0
5,2024-01-05,0
5,2024-01-06,2
5,2024-01-07,2
